	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
394	Anthony Nwakaeme	ng NGA	MF	Trabzonspor	37-052	1989	14	6	579	6.4	0	2	2	0	0	0	1	0	0.00	0.31	0.31	0.00	0.31	Matches
395	Prince Obeng Ampem	gh GHA	MF	Eyüpspor	28-029	1998	20	4	643	7.1	2	0	2	2	0	0	3	0	0.28	0.00	0.28	0.28	0.28	Matches
396	Uchenna Ogundu	ng NGA	FW	Alanyaspor	20-000	2006	17	11	982	10.9	2	1	3	2	0	0	3	0	0.18	0.09	0.27	0.18	0.27	Matches
397	Ahmet Oğuz	tr TUR	DF	Kocaelispor	33-116	1993	27	24	2,099	23.3	0	2	2	0	0	0	9	0	0.00	0.09	0.09	0.00	0.09	Matches
398	Kazeem Olaigbe	be BEL	MF	Konyaspor	23-130	2003	13	12	944	10.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
399	Kazeem Olaigbe	be BEL	MF	Trabzonspor	23-130	2003	18	14	1,086	12.1	0	1	1	0	0	0	0	0	0.00	0.08	0.08	0.00	0.08	Matches
400	Junior Olaitan	bj BEN	MF	Beşiktaş	24-003	2002	13	13	1,147	12.7	2	1	3	2	0	0	1	0	0.16	0.08	0.24	0.16	0.24	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
401	Junior Olaitan	bj BEN	MF	Göztepe	24-003	2002	17	10	904	10.0	2	0	2	2	0	0	1	0	0.20	0.00	0.20	0.20	0.20	Matches
402	Ibrahim Olawoyin	ng NGA	MF	Rizespor	28-162	1997	27	24	1,965	21.8	1	1	2	1	0	0	3	0	0.05	0.05	0.09	0.05	0.09	Matches
403	Abdülkadir Ömür	tr TUR	MF	Antalyaspor	26-321	1999	24	16	1,230	13.7	0	1	1	0	0	0	2	0	0.00	0.07	0.07	0.00	0.07	Matches
404	André Onana	cm CMR	GK	Trabzonspor	30-040	1996	29	29	2,526	28.1	0	1	1	0	0	0	3	0	0.00	0.04	0.04	0.00	0.04	Matches
405	Jérôme Onguéné	cm CMR	DF	Eyüpspor	28-141	1997	12	9	772	8.6	0	2	2	0	0	0	3	0	0.00	0.23	0.23	0.00	0.23	Matches
406	Paul Onuachu	ng NGA	FW	Trabzonspor	31-349	1994	29	27	2,428	27.0	22	2	24	16	6	7	6	0	0.82	0.07	0.89	0.59	0.67	Matches
407	German Onugkha	ru RUS	FW	Kayserispor	29-310	1996	27	21	1,887	21.0	8	1	9	8	0	0	3	0	0.38	0.05	0.43	0.38	0.43	Matches
408	Samed Onur	tr TUR	MF	Gençlerbirliği	23-301	2002	25	4	610	6.8	0	1	1	0	0	0	3	0	0.00	0.15	0.15	0.00	0.15	Matches
409	Henry Onyekuru	ng NGA	MF	Gençlerbirliği	28-341	1997	17	3	311	3.5	0	0	0	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	Matches
410	Jayden Oosterwolde	nl NED	DF	Fenerbahçe	25-016	2001	30	29	2,579	28.7	0	0	0	0	0	0	12	1	0.00	0.00	0.00	0.00	0.00	Matches
411	Christopher Operi	ci CIV	DF	Başakşehir	29-013	1997	22	22	1,821	20.2	0	4	4	0	0	0	3	0	0.00	0.20	0.20	0.00	0.20	Matches
412	Aaron Opoku	de GER	DF,MF	Kayserispor	27-045	1999	19	14	1,232	13.7	0	2	2	0	0	0	3	0	0.00	0.15	0.15	0.00	0.15	Matches
413	Jerome Opoku	gh GHA	DF	Başakşehir	27-210	1998	31	30	2,649	29.4	0	1	1	0	0	0	10	0	0.00	0.03	0.03	0.00	0.03	Matches
414	Nicholas Opoku	gh GHA	DF	Kasımpaşa	28-185	1997	29	25	2,345	26.1	0	0	0	0	0	0	5	0	0.00	0.00	0.00	0.00	0.00	Matches
