	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
507	Attila Szalai	hu HUN	DF	Kasımpaşa	28-112	1998	15	14	1,163	12.9	0	1	1	0	0	0	1	0	0.00	0.08	0.08	0.00	0.08	Matches
508	Sebastian Szymański	pl POL	MF	Fenerbahçe	27-002	1999	14	4	448	5.0	1	0	1	1	0	0	0	0	0.20	0.00	0.20	0.20	0.20	Matches
509	Muhammet Taha Şahin		DF,MF	Rizespor	25-202	2000	27	19	1,791	19.9	1	0	1	1	0	0	4	0	0.05	0.00	0.05	0.05	0.05	Matches
510	Tayyib Talha Sanuç	tr TUR	DF	Beşiktaş	26-146	1999	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
511	Tayyib Talha Sanuç	tr TUR	DF	Gaziantep FK	26-146	1999	18	16	1,333	14.8	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
512	Talisca	br BRA	MF,FW	Fenerbahçe	32-100	1994	30	24	1,944	21.6	19	4	23	14	5	8	2	0	0.88	0.19	1.06	0.65	0.83	Matches
513	Emre Taşdemir	tr TUR	DF	Kasımpaşa	30-277	1995	5	1	53	0.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
514	Ilter Tashkin	az AZE	MF	Eyüpspor	31-311	1994	21	12	998	11.1	0	0	0	0	0	0	6	0	0.00	0.00	0.00	0.00	0.00	Matches
515	Ertuğrul Taşkıran	tr TUR	GK	Alanyaspor	36-188	1989	20	20	1,800	20.0	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
516	Elayis Tavsan	nl NED	MF,FW	Samsunspor	25-012	2001	14	7	726	8.1	1	1	2	1	0	0	1	0	0.12	0.12	0.25	0.12	0.25	Matches
517	Serkan Terzi	tr TUR	DF	Beşiktaş	22-127	2004	1	0	21	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
518	Dorukhan Toköz	tr TUR	MF,DF	Kayserispor	29-356	1996	25	16	1,273	14.1	0	0	0	0	0	0	5	1	0.00	0.00	0.00	0.00	0.00	Matches
519	Logi Tómasson	is ISL	DF	Samsunspor	25-241	2000	29	26	2,256	25.1	1	4	5	1	0	0	5	0	0.04	0.16	0.20	0.04	0.20	Matches
520	Franco Tongya	it ITA	MF	Gençlerbirliği	24-060	2002	27	26	2,177	24.2	4	2	6	3	1	1	6	1	0.17	0.08	0.25	0.12	0.21	Matches
521	Emir Topçu	tr TUR	DF	Beşiktaş	25-213	2000	20	19	1,650	18.3	1	0	1	1	0	0	9	0	0.05	0.00	0.05	0.05	0.05	Matches
522	Lucas Torreira	uy URU	MF	Galatasaray	30-090	1996	30	28	2,213	24.6	3	4	7	3	0	0	5	0	0.12	0.16	0.28	0.12	0.28	Matches
523	Ángel Torres	co COL	MF,FW	Eyüpspor	26-036	2000	11	6	545	6.1	0	1	1	0	0	0	0	0	0.00	0.17	0.17	0.00	0.17	Matches
524	Cenk Tosun	tr TUR	FW,MF	Fenerbahçe	34-339	1991	5	0	65	0.7	0	1	1	0	0	0	0	0	0.00	1.38	1.38	0.00	1.38	Matches
525	Cenk Tosun	tr TUR	FW	Kasımpaşa	34-339	1991	11	4	368	4.1	1	0	1	1	0	0	4	0	0.24	0.00	0.24	0.24	0.24	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
526	Adama Traoré	ml MLI	MF,FW	Gençlerbirliği	30-341	1995	15	10	990	11.0	1	1	2	1	0	0	3	0	0.09	0.09	0.18	0.09	0.18	Matches
527	Ahmed Traore	ci CIV	MF	Fatih Karagümrük	19-029	2007	13	3	327	3.6	1	0	1	1	0	0	1	0	0.28	0.00	0.28	0.28	0.28	Matches
528	Indrit Tuci	al ALB	FW,MF	Kayserispor	25-240	2000	19	5	734	8.2	3	0	3	3	0	0	1	0	0.37	0.00	0.37	0.37	0.37	Matches
529	Ozan Tufan	tr TUR	MF,DF	Trabzonspor	31-050	1995	24	14	1,342	14.9	1	2	3	1	0	0	3	0	0.07	0.13	0.20	0.07	0.20	Matches
530	Muhammet Tunahan Taşçı	tr TUR	MF	Konyaspor	24-013	2002	13	0	223	2.5	1	1	2	1	0	0	1	0	0.40	0.40	0.81	0.40	0.81	Matches
531	Hüseyin Türkmen	tr TUR	DF	Antalyaspor	28-131	1998	19	15	1,340	14.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
532	Deniz Turuc	tr TUR	MF	Konyaspor	33-103	1993	13	13	1,036	11.5	1	1	2	1	0	0	8	0	0.09	0.09	0.17	0.09	0.17	Matches
533	Deniz Turuc	tr TUR	MF	Başakşehir	33-103	1993	12	5	475	5.3	0	1	1	0	0	0	2	0	0.00	0.19	0.19	0.00	0.19	Matches
534	Salih Uçan	tr TUR	MF	Beşiktaş	32-126	1994	18	5	516	5.7	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
535	Nikoloz Ugrekhelidze	ge GEO	DF	Fatih Karagümrük	22-270	2003	4	2	180	2.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
536	Hwang Ui-jo	kr KOR	MF,FW	Alanyaspor	33-257	1992	32	29	2,381	26.5	4	6	10	4	0	0	2	0	0.15	0.23	0.38	0.15	0.38	Matches
537	Oğulcan Ülgün	tr TUR	MF	Gençlerbirliği	28-001	1998	24	20	1,524	16.9	4	3	7	4	0	0	5	0	0.24	0.18	0.41	0.24	0.41	Matches
538	Talha Ulvan	be BEL	DF	Eyüpspor	25-022	2001	19	12	1,107	12.3	1	0	1	1	0	0	2	0	0.08	0.00	0.08	0.08	0.08	Matches
539	Cengiz Ünder	tr TUR	MF	Beşiktaş	28-302	1997	25	13	1,119	12.4	5	3	8	4	1	2	2	0	0.40	0.24	0.64	0.32	0.56	Matches
540	Cengiz Ünder	tr TUR	FW,MF	Fenerbahçe	28-302	1997	1	0	9	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
541	Arda Ünyay	tr TUR	DF	Galatasaray	19-114	2007	7	0	133	1.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
542	Cem Üstündag	at AUT	MF	Kasımpaşa	25-112	2001	18	9	940	10.4	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
543	Necip Uysal	tr TUR	MF	Beşiktaş	35-108	1991	2	1	81	0.9	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
544	Fıratcan Üzüm		DF,MF	Gençlerbirliği	26-342	1999	7	4	343	3.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
545	Dal Varesanovic	ba BIH	MF	Rizespor	24-354	2001	2	0	54	0.6	1	0	1	1	0	0	0	0	1.67	0.00	1.67	1.67	1.67	Matches
546	Dal Varesanovic	ba BIH	MF	Gençlerbirliği	24-354	2001	12	3	288	3.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
547	Devis Vásquez	co COL	GK	Beşiktaş	28-000	1998	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
548	Ricardo Velho	pt POR	GK	Gençlerbirliği	27-265	1998	22	22	1,980	22.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
549	Daniele Verde	it ITA	MF	Fatih Karagümrük	29-326	1996	8	6	489	5.4	1	4	5	1	0	0	0	0	0.18	0.74	0.92	0.18	0.92	Matches
550	Bruno Viana	br BRA	DF	Alanyaspor	31-096	1995	5	3	308	3.4	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
551	Paulo Victor Vidotti	br BRA	GK	Alanyaspor	39-120	1987	13	13	1,170	13.0	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
552	Edin Višća	ba BIH	MF	Trabzonspor	36-084	1990	9	2	189	2.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
553	Güray Vural	tr TUR	MF,FW	Antalyaspor	37-335	1988	4	3	275	3.1	2	0	2	2	0	0	1	0	0.65	0.00	0.65	0.65	0.65	Matches
554	Mateusz Wieteska	pl POL	DF	Kocaelispor	29-090	1997	1	1	21	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
555	Cláudio Winck	br BRA	DF	Kasımpaşa	32-027	1994	27	26	2,300	25.6	3	1	4	3	0	0	6	0	0.12	0.04	0.16	0.12	0.16	Matches
556	Eren Yağmur		FW	Konyaspor	19-064	2007	1	0	11	0.1	0	1	1	0	0	0	0	0	0.00	8.18	8.18	0.00	8.18	Matches
557	Güven Yalçın	tr TUR	FW,MF	Alanyaspor	27-114	1999	27	12	990	11.0	8	0	8	7	1	1	2	0	0.73	0.00	0.73	0.64	0.64	Matches
558	Robin Yalçın	de GER	DF	Eyüpspor	32-107	1994	19	18	1,625	18.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
559	Samet Yalçın		MF	Kocaelispor	32-070	1994	12	3	267	3.0	0	0	0	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	Matches
560	Polat Yaldır	tr TUR	FW	Samsunspor	22-360	2003	6	0	94	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
561	Karahan Yasir Subaşı	tr TUR	DF,MF	Konyaspor	30-131	1996	11	4	420	4.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
562	Zeki Yavru	tr TUR	DF	Samsunspor	34-249	1991	27	24	1,939	21.5	0	1	1	0	0	0	3	0	0.00	0.05	0.05	0.00	0.05	Matches
563	Arda Yavuz		DF	Eyüpspor	19-357	2006	2	1	68	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
564	Batuhan Yavuz	tr TUR	DF	Alanyaspor	21-008	2005	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
565	Ali Yavuz Kol	tr TUR	MF	Kasımpaşa	25-103	2001	24	5	719	8.0	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
566	Uğurcan Yazgılı	tr TUR	DF	Konyaspor	27-033	1999	26	24	2,001	22.2	0	1	1	0	0	0	9	0	0.00	0.04	0.04	0.00	0.04	Matches
567	Erdoğan Yeşilyurt		DF,MF	Antalyaspor	32-187	1993	8	5	391	4.3	0	1	1	0	0	0	4	0	0.00	0.23	0.23	0.00	0.23	Matches
568	Abdullah Yiğiter		GK	Antalyaspor	26-099	2000	13	13	1,170	13.0	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
569	Bertuğ Yıldırım	tr TUR	FW	Başakşehir	23-304	2002	19	5	561	6.2	7	1	8	7	0	0	2	0	1.12	0.16	1.28	1.12	1.28	Matches
570	Ege Yıldırım		DF	Göztepe	19-024	2007	1	0	9	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
571	Engin Yıldırım	tr TUR	FW	Antalyaspor	21-117	2005	10	0	158	1.8	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
572	Berk Yıldızlı		FW	Kasımpaşa	20-327	2005	1	0	3	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
573	Jankat Yilmaz	tr TUR	GK	Eyüpspor	21-269	2004	13	13	1,170	13.0	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
574	Kartal Yılmaz	tr TUR	MF	Beşiktaş	25-189	2000	13	5	518	5.8	0	1	1	0	0	0	2	0	0.00	0.17	0.17	0.00	0.17	Matches
575	Mert Yilmaz	tr TUR	DF,MF	Antalyaspor	27-065	1999	3	0	21	0.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
576	Rıdvan Yılmaz	tr TUR	DF	Beşiktaş	24-356	2001	24	23	2,074	23.0	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
577	Okay Yokuşlu	tr TUR	MF,DF	Trabzonspor	32-064	1994	22	10	889	9.9	1	0	1	1	0	0	1	1	0.10	0.00	0.10	0.10	0.10	Matches
578	İsmail Yüksek	tr TUR	MF	Fenerbahçe	27-106	1999	29	18	1,675	18.6	1	1	2	1	0	0	5	0	0.05	0.05	0.11	0.05	0.11	Matches
579	Celil Yüksel	tr TUR	MF	Samsunspor	28-131	1998	20	14	1,155	12.8	0	1	1	0	0	0	2	0	0.00	0.08	0.08	0.00	0.08	Matches
580	Esat Yusuf Narin		MF	Kocaelispor	19-051	2007	1	0	3	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
581	Nicolò Zaniolo	it ITA	FW,MF	Galatasaray	26-314	1999	4	0	54	0.6	0	1	1	0	0	0	0	0	0.00	1.67	1.67	0.00	1.67	Matches
582	Altin Zeqiri	xk KVX	MF,FW	Rizespor	25-298	2000	23	5	704	7.8	1	0	1	1	0	0	3	0	0.13	0.00	0.13	0.13	0.13	Matches
583	Oleksandr Zubkov	ua UKR	MF	Trabzonspor	29-282	1996	30	25	2,170	24.1	4	7	11	4	0	0	1	0	0.17	0.29	0.46	0.17	0.46	Matches
584	Žan Žužek	si SVN	DF,MF	Gençlerbirliği	29-106	1997	32	30	2,650	29.4	2	0	2	2	0	0	5	0	0.07	0.00	0.07	0.07	0.07	Matches
585	Mateusz Łęgowski	pl POL	MF,FW	Eyüpspor	23-103	2003	25	17	1,474	16.4	1	1	2	1	0	0	5	0	0.06	0.06	0.12	0.06	0.12	Matches
