Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
60	Metehan Baltacı	tr TUR	DF	Galatasaray	23-188	2002	0.3	0	0	0		0.00	0.00			0	0	Matches
61	Rayyan Baniya		DF	Trabzonspor	27-081	1999	2.4	0	0	0		0.00	0.00			0	0	Matches
62	Rayyan Baniya		DF	Konyaspor	27-081	1999	0.4	0	1	0	0.0	2.25	0.00	0.00		0	0	Matches
63	Yusuf Barasi	tr TUR	MF	Kasımpaşa	23-040	2003	3.1	0	5	2	40.0	1.64	0.65	0.00	0.00	0	0	Matches
64	Abdülkerim Bardakcı	tr TUR	DF	Galatasaray	31-245	1994	28.2	0	24	5	20.8	0.85	0.18	0.00	0.00	0	0	Matches
65	Enis Bardhi	mk MKD	MF	Konyaspor	30-312	1995	22.8	5	54	19	35.2	2.37	0.83	0.06	0.16	2	2	Matches
66	Boran Başkan	tr TUR	MF	Trabzonspor	20-042	2006	0.0	0	0	0		0.00	0.00			0	0	Matches
67	Arsenii Batahov	ua UKR	DF	Trabzonspor	24-066	2002	23.5	0	9	3	33.3	0.38	0.13	0.00	0.00	0	0	Matches
68	Bilal Bayazit	nl NED	GK	Kayserispor	27-032	1999	28.0	0	0	0		0.00	0.00			0	0	Matches
69	Furkan Bayır	tr TUR	DF	Göztepe	26-090	2000	3.8	0	1	1	100.0	0.27	0.27	0.00	0.00	0	0	Matches
70	Ogün Bayrak		MF,DF	Göztepe	27-212	1998	6.1	0	4	0	0.0	0.66	0.00	0.00		0	0	Matches
71	Riechedly Bazoer	cw CUW	DF	Konyaspor	29-210	1996	9.3	0	2	0	0.0	0.21	0.00	0.00		0	0	Matches
72	Rodrigo Becão	br BRA	DF	Fenerbahçe	30-111	1996	0.1	0	0	0		0.00	0.00			0	0	Matches
73	Rodrigo Becão	br BRA	DF	Kasımpaşa	30-111	1996	11.4	0	2	0	0.0	0.18	0.00	0.00		0	0	Matches
74	Efkan Bekiroğlu		MF	Göztepe	30-238	1995	11.8	3	27	7	25.9	2.29	0.59	0.11	0.43	0	0	Matches
75	Furkan Bekleviç	tr TUR	GK	Fatih Karagümrük	27-099	1999	1.0	0	0	0		0.00	0.00			0	0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
76	Mortadha Ben Ouanes	tn TUN	MF	Kasımpaşa	31-312	1994	25.1	2	23	4	17.4	0.92	0.16	0.09	0.50	0	0	Matches
77	Adrian Benedyczak	pl POL	FW,MF	Kasımpaşa	25-167	2000	11.8	9	30	15	50.0	2.53	1.27	0.20	0.40	3	3	Matches
78	László Bénes	sk SVK	MF	Kayserispor	28-243	1997	27.6	6	51	23	45.1	1.85	0.83	0.12	0.26	0	1	Matches
79	El Bilal Touré	ml MLI	MF,FW	Beşiktaş	24-219	2001	17.3	5	43	22	51.2	2.49	1.27	0.12	0.23	0	0	Matches
80	Tayfur Bingöl	tr TUR	MF,FW	Kocaelispor	33-119	1993	23.1	5	43	18	41.9	1.86	0.78	0.12	0.28	0	0	Matches
81	Davide Biraschi	it ITA	DF	Fatih Karagümrük	31-312	1994	11.7	0	2	1	50.0	0.17	0.09	0.00	0.00	0	0	Matches
82	Morten Bjørlo	no NOR	MF	Konyaspor	30-218	1995	14.8	0	8	1	12.5	0.54	0.07	0.00	0.00	0	0	Matches
83	Emmanuel Boateng	gh GHA	FW	Gaziantep FK	29-352	1996	5.2	1	14	4	28.6	2.67	0.76	0.07	0.25	0	0	Matches
84	Sacha Boey	fr FRA	DF	Galatasaray	25-239	2000	5.4	1	4	2	50.0	0.74	0.37	0.25	0.50	0	0	Matches
85	Malcom Bokélé	cm CMR	DF	Göztepe	26-087	2000	28.4	3	17	5	29.4	0.60	0.18	0.12	0.40	1	1	Matches
86	Yohan Boli	ci CIV	FW	Antalyaspor	32-174	1993	9.5	2	17	5	29.4	1.78	0.52	0.12	0.40	0	0	Matches
87	Toni Borevkovic	hr CRO	DF	Samsunspor	28-326	1997	12.7	1	3	1	33.3	0.24	0.08	0.33	1.00	0	0	Matches
88	Arif Boşluk		DF	Trabzonspor	22-338	2003	4.1	0	3	0	0.0	0.73	0.00	0.00		0	0	Matches
89	Arif Boşluk		DF	Konyaspor	22-338	2003	7.6	0	2	0	0.0	0.26	0.00	0.00		0	0	Matches
90	Melih Bostan	tr TUR	FW	Konyaspor	22-032	2004	1.3	0	4	0	0.0	3.00	0.00	0.00		0	0	Matches
91	Salem Bouajila	fi FIN	FW	Göztepe	18-282	2007	0.2	0	0	0		0.00	0.00			0	0	Matches
92	Benjamin Bouchouari	ma MAR	MF	Trabzonspor	24-178	2001	5.9	0	6	2	33.3	1.02	0.34	0.00	0.00	0	0	Matches
93	Umut Bozok	tr TUR	FW	Eyüpspor	29-233	1996	22.4	6	38	20	52.6	1.70	0.89	0.11	0.20	2	2	Matches
94	Joshua Brenet	cw CUW	DF,MF	Kayserispor	32-051	1994	7.9	0	3	0	0.0	0.38	0.00	0.00		0	0	Matches
95	Ivan Brnić	hr CRO	MF	Başakşehir	24-260	2001	10.2	4	25	9	36.0	2.46	0.89	0.16	0.44	0	0	Matches
96	Archie Brown	eng ENG	DF,MF	Fenerbahçe	23-347	2002	16.3	3	20	6	30.0	1.22	0.37	0.15	0.50	0	0	Matches
97	İsmail Buğa		MF	Konyaspor	19-275	2006	0.3	0	0	0		0.00	0.00			0	0	Matches
98	Tahsin Bülbül		MF	Samsunspor	19-335	2006	0.9	0	1	0	0.0	1.07	0.00	0.00		0	0	Matches
99	Muhamed Buljubasic	ba BIH	MF	Rizespor	21-310	2004	8.8	0	12	2	16.7	1.37	0.23	0.00	0.00	0	0	Matches
100	Emrecan Bulut		MF,FW	Rizespor	24-104	2002	6.5	1	17	5	29.4	2.62	0.77	0.06	0.20	0	0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
101	Onur Bulut	tr TUR	DF	Başakşehir	32-024	1994	10.8	0	6	1	16.7	0.56	0.09	0.00	0.00	0	0	Matches
102	Taylan Bulut	de GER	DF	Beşiktaş	20-111	2006	4.9	0	1	1	100.0	0.20	0.20	0.00	0.00	0	0	Matches
103	Abdulsamet Burak		DF	Kayserispor	29-362	1996	4.2	0	0	0		0.00	0.00			0	0	Matches
104	Mustafa Burak Bozan		GK	Gaziantep FK	25-260	2000	12.7	0	0	0		0.00	0.00			0	0	Matches
105	Cafú	pt POR	MF	Kasımpaşa	33-073	1993	13.7	0	15	3	20.0	1.09	0.22	0.00	0.00	0	0	Matches
106	Oğulcan Çağlayan	tr TUR	FW	Kocaelispor	30-049	1996	2.2	0	6	0	0.0	2.76	0.00	0.00		0	0	Matches
107	Uğurcan Çakır	tr TUR	GK	Galatasaray	30-035	1996	25.0	0	0	0		0.00	0.00			0	0	Matches
108	Uğurcan Çakır	tr TUR	GK	Trabzonspor	30-035	1996	4.0	0	0	0		0.00	0.00			0	0	Matches
109	Onuralp Çakiroğlu	tr TUR	FW	Trabzonspor	18-156	2007	0.0	0	0	0		0.00	0.00			0	0	Matches
110	Lucas Calegari	br BRA	DF,MF	Eyüpspor	24-072	2002	17.0	1	11	4	36.4	0.65	0.24	0.09	0.25	0	0	Matches
111	Josip Čalušić	hr CRO	DF	Konyaspor	32-211	1993	3.3	0	0	0		0.00	0.00			0	0	Matches
112	João Pedro Gomes Camacho	pt POR	MF	Fatih Karagümrük	31-321	1994	3.5	0	4	2	50.0	1.13	0.56	0.00	0.00	0	0	Matches
113	Drissa Camara	ci CIV	MF	Gaziantep FK	24-081	2002	19.2	3	65	24	36.9	3.38	1.25	0.05	0.13	0	0	Matches
114	İrfan Can Eğribayat	tr TUR	GK	Samsunspor	27-314	1998	3.0	0	0	0		0.00	0.00			0	0	Matches
115	İrfan Can Eğribayat	tr TUR	GK	Fenerbahçe	27-314	1998	3.0	0	0	0		0.00	0.00			0	0	Matches
116	Mesut Can Tunalı		MF	Kocaelispor	24-306	2001	0.5	0	0	0		0.00	0.00			0	0	Matches
117	Cihan Çanak	tr TUR	MF	Gençlerbirliği	21-106	2005	4.2	0	2	1	50.0	0.48	0.24	0.00	0.00	0	0	Matches
118	Cihan Çanak	tr TUR	MF	Trabzonspor	21-106	2005	0.5	0	0	0		0.00	0.00			0	0	Matches
119	Atakan Çankaya	tr TUR	DF	Fatih Karagümrük	27-319	1998	17.0	1	15	3	20.0	0.88	0.18	0.07	0.33	0	0	Matches
120	Erdem Canpolat	de GER	GK	Rizespor	25-027	2001	7.0	0	0	0		0.00	0.00			0	0	Matches
121	Miguel Filipe Nunes Cardoso	pt POR	MF,FW	Kayserispor	31-325	1994	31.7	2	73	23	31.5	2.30	0.73	0.03	0.09	0	0	Matches
122	Lionel Carole	fr FRA	DF	Kayserispor	35-028	1991	20.1	0	1	0	0.0	0.05	0.00	0.00		0	0	Matches
123	Ebrima Ceesay	gm GAM	FW	Samsunspor	19-343	2006	0.1	0	0	0		0.00	0.00			0	0	Matches
124	Jesper Ceesay	gm GAM	MF	Antalyaspor	24-202	2001	23.3	0	8	2	25.0	0.34	0.09	0.00	0.00	0	0	Matches
125	Cihat Çelik	nl NED	MF	Kocaelispor	30-128	1996	0.1	0	1	0	0.0	6.92	0.00	0.00		0	0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
126	İzzet Çelik	tr TUR	MF	Alanyaspor	21-324	2004	1.7	0	2	0	0.0	1.15	0.00	0.00		0	0	Matches
127	Yiğit Çeltik	tr TUR	MF	Kayserispor	23-033	2003	0.2	0	0	0		0.00	0.00			0	0	Matches
128	Václav Černý	cz CZE	MF	Beşiktaş	28-205	1997	21.6	4	62	25	40.3	2.87	1.16	0.06	0.16	0	0	Matches
129	Tarık Çetin	tr TUR	GK	Fenerbahçe	29-122	1997	2.0	0	0	0		0.00	0.00			0	0	Matches
130	Fyodor Chalov	ru RUS	FW,MF	Kayserispor	28-030	1998	8.6	1	15	6	40.0	1.75	0.70	0.07	0.17	0	0	Matches
131	Muhammed Cham	at AUT	MF	Trabzonspor	25-226	2000	0.1	0	0	0		0.00	0.00			0	0	Matches
132	Sidiki Cherif	fr FRA	FW	Fenerbahçe	19-146	2006	7.2	2	11	8	72.7	1.53	1.11	0.18	0.25	0	0	Matches
133	Amine Cherni	tn TUN	MF	Göztepe	24-307	2001	32.3	0	24	6	25.0	0.74	0.19	0.00	0.00	0	0	Matches
134	Darko Churlinov	mk MKD	MF,FW	Kocaelispor	25-303	2000	11.1	0	18	4	22.2	1.63	0.36	0.00	0.00	0	0	Matches
135	Kayra Cihan	tr TUR	DF	Kayserispor	18-222	2007	1.1	0	0	0		0.00	0.00			0	0	Matches
136	Mirza Cihan		FW	Gaziantep FK	25-196	2000	0.3	0	0	0		0.00	0.00			0	0	Matches
137	Muharrem Cinan		DF	Kocaelispor	27-362	1998	4.5	0	1	0	0.0	0.22	0.00	0.00		0	0	Matches
138	Anıl Çınar		DF	Fatih Karagümrük	22-304	2003	11.3	2	7	2	28.6	0.62	0.18	0.29	1.00	0	0	Matches
139	Ramazan Civelek	tr TUR	DF,MF	Kayserispor	30-108	1996	23.8	0	12	1	8.3	0.50	0.04	0.00	0.00	0	0	Matches
140	Luccas Claro	br BRA	DF	Eyüpspor	34-220	1991	14.7	1	8	1	12.5	0.54	0.07	0.13	1.00	0	0	Matches
141	Kamil Çörekçi	tr TUR	DF	Kasımpaşa	34-098	1992	7.5	0	0	0		0.00	0.00			0	0	Matches
142	Nuno da Costa	cv CPV	MF,FW	Başakşehir	35-089	1991	9.3	3	26	6	23.1	2.78	0.64	0.12	0.50	0	0	Matches
143	Tanguy Coulibaly	fr FRA	MF	Samsunspor	25-081	2001	7.2	1	16	4	25.0	2.21	0.55	0.06	0.25	0	0	Matches
144	Crespo	pt POR	MF	Başakşehir	29-241	1996	11.6	0	13	3	23.1	1.12	0.26	0.00	0.00	0	0	Matches
145	Kevin Csoboth	hu HUN	FW	Gençlerbirliği	25-324	2000	0.6	0	1	1	100.0	1.80	1.80	0.00	0.00	0	0	Matches
146	Julián Cuesta	es ESP	GK	Antalyaspor	35-043	1991	20.0	0	0	0		0.00	0.00			0	0	Matches
147	Tiago Çukur	tr TUR	FW,MF	Fatih Karagümrük	23-161	2002	17.1	2	30	10	33.3	1.75	0.58	0.07	0.20	0	0	Matches
148	Tomáš Čvančara	cz CZE	FW	Antalyaspor	25-270	2000	5.8	1	12	6	50.0	2.06	1.03	0.08	0.17	0	0	Matches
149	David Datro Fofana	ci CIV	FW	Fatih Karagümrük	23-139	2002	10.9	6	22	8	36.4	2.02	0.73	0.27	0.75	0	1	Matches
150	Sergio Antonio De Luiz Junior	br BRA	MF,FW	Fatih Karagümrük	31-034	1995	24.2	8	41	15	36.6	1.69	0.62	0.20	0.53	0	0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
151	Gökhan Değirmenci	tr TUR	GK	Kocaelispor	37-050	1989	9.5	0	0	0		0.00	0.00			0	0	Matches
152	Tom Dele-Bashiru	ng NGA	MF	Gençlerbirliği	26-235	1999	25.2	0	16	3	18.8	0.63	0.12	0.00	0.00	0	0	Matches
153	Dilhan Demir	de GER	MF	Gençlerbirliği	22-316	2003	1.1	0	1	0	0.0	0.88	0.00	0.00		0	0	Matches
154	Mete-Kaan Demir	tr TUR	FW	Eyüpspor	27-362	1998	0.0	0	0	0		0.00	0.00			0	0	Matches
155	Yusuf Demir	at AUT	MF	Galatasaray	22-342	2003	0.3	0	3	1	33.3	9.31	3.10	0.00	0.00	0	0	Matches
156	Adil Demirbağ	tr TUR	DF	Konyaspor	28-151	1997	23.2	2	10	2	20.0	0.43	0.09	0.20	1.00	0	0	Matches
157	Kerem Demirbay	de GER	MF	Kasımpaşa	32-311	1993	7.5	1	7	3	42.9	0.94	0.40	0.14	0.33	0	0	Matches
158	Kerem Demirbay	de GER	MF	Eyüpspor	32-311	1993	15.7	0	19	5	26.3	1.21	0.32	0.00	0.00	0	0	Matches
159	Ali Demirbilek	tr TUR	FW	Antalyaspor	17-125	2009	0.0	0	0	0		0.00	0.00			0	0	Matches
160	Alper Demirol	se SWE	MF	Fatih Karagümrük	23-221	2002	0.8	0	0	0		0.00	0.00			0	0	Matches
161	Anthony Dennis	ng NGA	MF	Göztepe	21-323	2004	26.5	3	23	6	26.1	0.87	0.23	0.13	0.50	0	0	Matches
162	Stefano Denswil	sr SUR	DF	Kayserispor	33-003	1993	30.2	1	24	2	8.3	0.79	0.07	0.04	0.50	0	0	Matches
163	Halil Dervişoğlu	tr TUR	FW	Rizespor	26-153	1999	9.5	1	18	2	11.1	1.89	0.21	0.06	0.50	0	0	Matches
164	Ersin Destanoğlu	tr TUR	GK	Beşiktaş	25-129	2001	24.0	0	0	0		0.00	0.00			0	0	Matches
165	Ali Diabaté	ci CIV	DF	Samsunspor	19-156	2006	1.7	0	2	1	50.0	1.19	0.60	0.00	0.00	0	0	Matches
166	Fousseni Diabaté	ml MLI	MF	Kasımpaşa	30-204	1995	21.0	1	14	7	50.0	0.67	0.33	0.07	0.14	0	0	Matches
167	Ousmane Dıabate	gn GUI	MF	Gençlerbirliği	18-228	2007	2.0	0	1	0	0.0	0.49	0.00	0.00		0	0	Matches
168	Anfernee Dijksteel	sr SUR	DF	Kocaelispor	29-195	1996	28.9	0	3	0	0.0	0.10	0.00	0.00		0	0	Matches
169	Soner Dikmen	tr TUR	MF	Antalyaspor	32-251	1993	22.9	4	24	10	41.7	1.05	0.44	0.17	0.40	0	0	Matches
170	Deniz Dilmen	tr TUR	GK	Başakşehir	20-339	2005	1.0	0	0	0		0.00	0.00			0	0	Matches
171	Landry Dimata	be BEL	MF,FW	Samsunspor	28-251	1997	1.4	0	3	2	66.7	2.08	1.38	0.00	0.00	0	0	Matches
