Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
534	Salih Uçan	tr TUR	MF	Beşiktaş	32-124	1994	5.7	0	5	1	20.0	0.87	0.17	0.00	0.00	0	0	Matches
535	Nikoloz Ugrekhelidze	ge GEO	DF	Fatih Karagümrük	22-268	2003	2.0	0	1	0	0.0	0.50	0.00	0.00		0	0	Matches
536	Hwang Ui-jo	kr KOR	MF,FW	Alanyaspor	33-255	1992	26.5	4	42	15	35.7	1.59	0.57	0.10	0.27	0	0	Matches
537	Oğulcan Ülgün	tr TUR	MF	Gençlerbirliği	27-364	1998	16.9	4	25	9	36.0	1.48	0.53	0.16	0.44	0	0	Matches
538	Talha Ulvan	be BEL	DF	Eyüpspor	25-020	2001	12.3	1	14	4	28.6	1.14	0.33	0.07	0.25	0	0	Matches
539	Cengiz Ünder	tr TUR	MF	Beşiktaş	28-300	1997	12.4	5	41	18	43.9	3.30	1.45	0.10	0.22	1	2	Matches
540	Cengiz Ünder	tr TUR	FW,MF	Fenerbahçe	28-300	1997	0.1	0	0	0		0.00	0.00			0	0	Matches
541	Arda Ünyay	tr TUR	DF	Galatasaray	19-112	2007	1.5	0	1	0	0.0	0.68	0.00	0.00		0	0	Matches
542	Cem Üstündag	at AUT	MF	Kasımpaşa	25-110	2001	10.4	0	5	0	0.0	0.48	0.00	0.00		0	0	Matches
543	Necip Uysal	tr TUR	MF	Beşiktaş	35-106	1991	0.9	0	0	0		0.00	0.00			0	0	Matches
544	Fıratcan Üzüm		DF,MF	Gençlerbirliği	26-340	1999	3.8	0	2	0	0.0	0.52	0.00	0.00		0	0	Matches
545	Dal Varesanovic	ba BIH	MF	Rizespor	24-352	2001	0.6	1	2	1	50.0	3.33	1.67	0.50	1.00	0	0	Matches
546	Dal Varesanovic	ba BIH	MF	Gençlerbirliği	24-352	2001	3.2	0	2	0	0.0	0.62	0.00	0.00		0	0	Matches
547	Devis Vásquez	co COL	GK	Beşiktaş	27-363	1998	1.0	0	0	0		0.00	0.00			0	0	Matches
548	Ricardo Velho	pt POR	GK	Gençlerbirliği	27-263	1998	22.0	0	0	0		0.00	0.00			0	0	Matches
549	Daniele Verde	it ITA	MF	Fatih Karagümrük	29-324	1996	5.4	1	16	10	62.5	2.94	1.84	0.06	0.10	0	0	Matches
550	Bruno Viana	br BRA	DF	Alanyaspor	31-094	1995	3.4	0	1	0	0.0	0.29	0.00	0.00		0	0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
551	Paulo Victor Vidotti	br BRA	GK	Alanyaspor	39-118	1987	13.0	0	0	0		0.00	0.00			0	0	Matches
552	Edin Višća	ba BIH	MF	Trabzonspor	36-082	1990	2.1	0	7	2	28.6	3.33	0.95	0.00	0.00	0	0	Matches
553	Güray Vural	tr TUR	MF,FW	Antalyaspor	37-333	1988	3.1	2	10	5	50.0	3.27	1.64	0.20	0.40	0	0	Matches
554	Mateusz Wieteska	pl POL	DF	Kocaelispor	29-088	1997	0.2	0	0	0		0.00	0.00			0	0	Matches
555	Cláudio Winck	br BRA	DF	Kasımpaşa	32-025	1994	25.6	3	31	8	25.8	1.21	0.31	0.10	0.38	0	0	Matches
556	Eren Yağmur		FW	Konyaspor	19-062	2007	0.1	0	0	0		0.00	0.00			0	0	Matches
557	Güven Yalçın	tr TUR	FW,MF	Alanyaspor	27-112	1999	11.0	8	28	13	46.4	2.55	1.18	0.25	0.54	1	1	Matches
558	Robin Yalçın	de GER	DF	Eyüpspor	32-105	1994	18.1	0	3	1	33.3	0.17	0.06	0.00	0.00	0	0	Matches
559	Samet Yalçın		MF	Kocaelispor	32-068	1994	3.0	0	4	0	0.0	1.35	0.00	0.00		0	0	Matches
560	Polat Yaldır	tr TUR	FW	Samsunspor	22-358	2003	1.0	0	2	2	100.0	1.91	1.91	0.00	0.00	0	0	Matches
561	Karahan Yasir Subaşı	tr TUR	DF,MF	Konyaspor	30-129	1996	4.7	0	0	0		0.00	0.00			0	0	Matches
562	Zeki Yavru	tr TUR	DF	Samsunspor	34-247	1991	21.5	0	11	3	27.3	0.51	0.14	0.00	0.00	0	0	Matches
563	Arda Yavuz		DF	Eyüpspor	19-355	2006	0.8	0	0	0		0.00	0.00			0	0	Matches
564	Batuhan Yavuz	tr TUR	DF	Alanyaspor	21-006	2005	0.0	0	0	0		0.00	0.00			0	0	Matches
565	Ali Yavuz Kol	tr TUR	MF	Kasımpaşa	25-101	2001	8.0	0	26	3	11.5	3.25	0.38	0.00	0.00	0	0	Matches
566	Uğurcan Yazgılı	tr TUR	DF	Konyaspor	27-031	1999	22.2	0	16	2	12.5	0.72	0.09	0.00	0.00	0	0	Matches
567	Erdoğan Yeşilyurt		DF,MF	Antalyaspor	32-185	1993	4.3	0	6	2	33.3	1.38	0.46	0.00	0.00	0	0	Matches
568	Abdullah Yiğiter		GK	Antalyaspor	26-097	2000	13.0	0	0	0		0.00	0.00			0	0	Matches
569	Bertuğ Yıldırım	tr TUR	FW	Başakşehir	23-302	2002	6.2	7	18	10	55.6	2.89	1.60	0.39	0.70	0	0	Matches
570	Ege Yıldırım		DF	Göztepe	19-022	2007	0.1	0	0	0		0.00	0.00			0	0	Matches
571	Engin Yıldırım	tr TUR	FW	Antalyaspor	21-115	2005	1.8	0	3	1	33.3	1.71	0.57	0.00	0.00	0	0	Matches
572	Berk Yıldızlı		FW	Kasımpaşa	20-325	2005	0.0	0	0	0		0.00	0.00			0	0	Matches
573	Jankat Yilmaz	tr TUR	GK	Eyüpspor	21-267	2004	13.0	0	0	0		0.00	0.00			0	0	Matches
574	Kartal Yılmaz	tr TUR	MF	Beşiktaş	25-187	2000	5.8	0	7	1	14.3	1.22	0.17	0.00	0.00	0	0	Matches
575	Mert Yilmaz	tr TUR	DF,MF	Antalyaspor	27-063	1999	0.2	0	1	0	0.0	4.29	0.00	0.00		0	0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
576	Rıdvan Yılmaz	tr TUR	DF	Beşiktaş	24-354	2001	23.0	0	10	1	10.0	0.43	0.04	0.00	0.00	0	0	Matches
577	Okay Yokuşlu	tr TUR	MF,DF	Trabzonspor	32-062	1994	9.9	1	6	3	50.0	0.61	0.30	0.17	0.33	0	0	Matches
578	İsmail Yüksek	tr TUR	MF	Fenerbahçe	27-104	1999	18.6	1	29	7	24.1	1.56	0.38	0.03	0.14	0	0	Matches
579	Celil Yüksel	tr TUR	MF	Samsunspor	28-129	1998	12.8	0	18	2	11.1	1.40	0.16	0.00	0.00	0	0	Matches
580	Esat Yusuf Narin		MF	Kocaelispor	19-049	2007	0.0	0	1	0	0.0	30.00	0.00	0.00		0	0	Matches
581	Nicolò Zaniolo	it ITA	FW,MF	Galatasaray	26-312	1999	0.6	0	2	1	50.0	3.33	1.67	0.00	0.00	0	0	Matches
582	Altin Zeqiri	xk KVX	MF,FW	Rizespor	25-296	2000	7.8	1	13	6	46.2	1.66	0.77	0.08	0.17	0	0	Matches
583	Oleksandr Zubkov	ua UKR	MF	Trabzonspor	29-280	1996	24.1	4	71	18	25.4	2.94	0.75	0.06	0.22	0	0	Matches
584	Žan Žužek	si SVN	DF,MF	Gençlerbirliği	29-104	1997	29.4	2	21	5	23.8	0.71	0.17	0.10	0.40	0	0	Matches
585	Mateusz Łęgowski	pl POL	MF,FW	Eyüpspor	23-101	2003	16.4	1	11	3	27.3	0.67	0.18	0.09	0.33	0	0	Matches
