	Playing Time	Starts	Subs	Team Success	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
600	Çağlar Söyüncü	tr TUR	DF	Fenerbahçe	29-354	1996	10	725	73	24.4	8.1	9	76	6	1	45	14	2.40	21	8	+13	+1.61	+0.53	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
601	Andraž Šporar	si SVN	FW	Alanyaspor	32-074	1994	2	164	82	5.5	1.8	2	82	1	0		0	0.50	1	2	-1	-0.55	-0.61	Matches
602	Luca Stančič	de GER	GK	Başakşehir	19-112	2007	0					0		0	0		1							Matches
603	Marius Ştefănescu	ro ROU	MF	Konyaspor	27-271	1998	8	167	21	5.6	1.9	1	67	0	7	14	9	0.75	1	1	0	0.00	+0.19	Matches
604	Taras Stepanenko	ua UKR	MF	Eyüpspor	36-277	1989	8	528	66	17.8	5.9	6	81	2	2	21	4	1.00	4	7	-3	-0.51	-0.07	Matches
605	Nikola Storm	be BEL	MF,FW	Antalyaspor	31-224	1994	27	1,572	58	52.9	17.5	20	71	4	7	23	4	0.93	16	25	-9	-0.52	+0.39	Matches
606	Sander van de Streek	nl NED	FW,MF	Antalyaspor	33-049	1993	30	2,248	75	75.7	25.0	27	79	11	3	37	2	0.93	26	39	-13	-0.52	+0.73	Matches
607	Mahamadou Susoho	es ESP	MF	Kocaelispor	21-112	2005	8	423	53	14.2	4.7	4	74	1	4	32	1	0.88	4	7	-3	-0.64	-0.36	Matches
608	Sander Svendsen	no NOR	MF,FW	Konyaspor	28-279	1997	10	283	28	9.5	3.1	3	68	1	7	11	5	1.10	5	7	-2	-0.64	-0.50	Matches
609	Jonas Svensson	no NOR	DF	Beşiktaş	33-067	1993	5	344	69	11.6	3.8	4	86	2	1	1	1	1.80	6	5	+1	+0.26	-0.36	Matches
610	Oleksandr Syrota	ua UKR	DF	Kocaelispor	25-335	2000	6	362	60	12.2	4.0	4	90	4	2	1	11	1.67	6	9	-3	-0.75	-0.47	Matches
611	Attila Szalai	hu HUN	DF	Kasımpaşa	28-112	1998	15	1,163	78	39.2	12.9	14	83	11	1	6	2	0.87	10	22	-12	-0.93	-0.68	Matches
612	Sebastian Szymański	pl POL	MF	Fenerbahçe	27-002	1999	14	448	32	15.1	5.0	4	65	1	10	19	1	2.43	7	2	+5	+1.00	-0.24	Matches
613	Muhammet Taha Şahin		DF,MF	Rizespor	25-202	2000	27	1,791	66	60.3	19.9	19	88	16	8	15	3	1.11	20	35	-15	-0.75	-1.44	Matches
614	Tayyib Talha Sanuç	tr TUR	DF	Beşiktaş	26-146	1999	1	1	1	0.0	0.0	0		0	1	1	1	3.00	0	0	0	0.00	-0.58	Matches
615	Tayyib Talha Sanuç	tr TUR	DF	Gaziantep FK	26-146	1999	18	1,333	74	44.9	14.8	16	80	11	2	23	2	1.17	18	25	-7	-0.47	-0.09	Matches
616	Talisca	br BRA	MF,FW	Fenerbahçe	32-100	1994	30	1,944	65	65.5	21.6	24	74	5	6	29	0	2.30	55	15	+40	+1.85	+1.85	Matches
617	Emre Taşdemir	tr TUR	DF	Kasımpaşa	30-277	1995	5	53	11	1.8	0.6	1	19	0	4	9	15	1.00	0	1	-1	-1.70	-1.20	Matches
618	Ilter Tashkin	az AZE	MF	Eyüpspor	31-311	1994	21	998	48	33.6	11.1	12	76	1	9	10	10	1.14	14	15	-1	-0.09	+0.55	Matches
619	Ertuğrul Taşkıran	tr TUR	GK	Alanyaspor	36-188	1989	20	1,800	90	60.6	20.0	20	90	20	0		12	1.10	22	24	-2	-0.10	-0.33	Matches
620	Elayis Tavsan	nl NED	MF,FW	Samsunspor	25-012	2001	14	726	52	24.4	8.1	7	77	1	7	26	2	1.21	5	13	-8	-0.99	-1.23	Matches
621	Yusuf Temel		FW	Gençlerbirliği	18-100	2008	0					0		0	0		2							Matches
622	Serkan Terzi	tr TUR	DF	Beşiktaş	22-127	2004	1	21	21	0.7	0.2	0		0	1	21	0	3.00	1	0	+1	+4.29	+3.74	Matches
623	Ahmet Tırpancı		DF	Konyaspor	19-054	2007	0					0		0	0		1							Matches
624	Dorukhan Toköz	tr TUR	MF,DF	Kayserispor	29-356	1996	25	1,273	51	42.9	14.1	16	67	2	9	23	4	0.88	11	27	-16	-1.13	-0.07	Matches
625	Logi Tómasson	is ISL	DF	Samsunspor	25-241	2000	29	2,256	78	76.0	25.1	26	84	19	3	20	2	1.48	34	32	+2	+0.08	+0.58	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
626	Franco Tongya	it ITA	MF	Gençlerbirliği	24-060	2002	27	2,177	81	73.3	24.2	26	83	9	1	32	0	1.07	27	35	-8	-0.33	+0.35	Matches
627	Emir Topçu	tr TUR	DF	Beşiktaş	25-213	2000	20	1,650	83	55.6	18.3	19	87	16	1	6	6	1.90	37	22	+15	+0.82	+0.55	Matches
628	Osman Topçu		GK	Rizespor	19-187	2006	0					0		0	0		3							Matches
629	Berkay Topdemir		FW	Antalyaspor	19-131	2007	0					0		0	0		5							Matches
630	Lucas Torreira	uy URU	MF	Galatasaray	30-090	1996	30	2,213	74	74.5	24.6	28	77	9	2	29	1	2.33	56	18	+38	+1.55	+0.36	Matches
631	Ángel Torres	co COL	MF,FW	Eyüpspor	26-036	2000	11	545	50	18.4	6.1	6	72	1	5	23	0	0.55	1	10	-9	-1.49	-1.26	Matches
632	Efe Töruz		GK	Samsunspor	19-246	2006	0					0		0	0		24							Matches
633	Cenk Tosun	tr TUR	FW,MF	Fenerbahçe	34-339	1991	5	65	13	2.2	0.7	0		0	5	13	2	1.80	3	1	+2	+2.77	+1.59	Matches
634	Cenk Tosun	tr TUR	FW	Kasımpaşa	34-339	1991	11	368	33	12.4	4.1	4	77	1	7	8	5	1.18	4	6	-2	-0.49	+0.03	Matches
635	Adama Traoré	ml MLI	MF,FW	Gençlerbirliği	30-341	1995	15	990	66	33.3	11.0	10	83	4	5	33	0	0.60	9	9	0	0.00	+0.64	Matches
636	Ahmed Traore	ci CIV	MF	Fatih Karagümrük	19-029	2007	13	327	25	11.0	3.6	3	54	0	10	16	3	1.08	6	5	+1	+0.28	+1.13	Matches
637	Indrit Tuci	al ALB	FW,MF	Kayserispor	25-240	2000	19	734	39	24.7	8.2	5	80	1	14	24	12	0.53	7	15	-8	-0.98	+0.15	Matches
638	Ozan Tufan	tr TUR	MF,DF	Trabzonspor	31-050	1995	24	1,342	56	45.2	14.9	14	86	9	10	14	9	2.13	28	19	+9	+0.60	-0.28	Matches
639	Muhammet Tunahan Taşçı	tr TUR	MF	Konyaspor	24-013	2002	13	223	17	7.5	2.5	0		0	13	17	10	1.46	8	3	+5	+2.02	+2.38	Matches
640	Hüseyin Türkmen	tr TUR	DF	Antalyaspor	28-131	1998	19	1,340	71	45.1	14.9	15	84	11	4	20	6	0.79	13	21	-8	-0.54	+0.29	Matches
641	Deniz Turuc	tr TUR	MF	Konyaspor	33-103	1993	13	1,036	80	34.9	11.5	13	80	2	0		0	1.46	11	14	-3	-0.26	-0.12	Matches
642	Deniz Turuc	tr TUR	MF	Başakşehir	33-103	1993	12	475	40	16.0	5.3	5	63	2	7	23	1	0.83	4	5	-1	-0.19	-1.02	Matches
643	Salih Uçan	tr TUR	MF	Beşiktaş	32-126	1994	18	516	29	17.4	5.7	5	64	0	13	15	10	2.33	10	7	+3	+0.52	-0.06	Matches
644	Nikoloz Ugrekhelidze	ge GEO	DF	Fatih Karagümrük	22-270	2003	4	180	45	6.1	2.0	2	89	1	2	2	10	0.75	2	7	-5	-2.50	-1.89	Matches
645	Hwang Ui-jo	kr KOR	MF,FW	Alanyaspor	33-257	1992	32	2,381	74	80.2	26.5	29	79	4	3	28	0	1.13	30	31	-1	-0.04	-0.34	Matches
646	Oğulcan Ülgün	tr TUR	MF	Gençlerbirliği	28-001	1998	24	1,524	64	51.3	16.9	20	71	7	4	25	2	1.17	25	26	-1	-0.06	+0.75	Matches
647	Talha Ulvan	be BEL	DF	Eyüpspor	25-022	2001	19	1,107	58	37.3	12.3	12	83	7	7	17	14	1.21	11	22	-11	-0.89	-0.70	Matches
648	Cengiz Ünder	tr TUR	MF	Beşiktaş	28-302	1997	25	1,119	45	37.7	12.4	13	68	0	12	20	2	1.80	25	16	+9	+0.72	+0.24	Matches
649	Cengiz Ünder	tr TUR	FW,MF	Fenerbahçe	28-302	1997	1	9	9	0.3	0.1	0		0	1	9	1	3.00	0	0	0	0.00	-1.22	Matches
650	Arda Ünyay	tr TUR	DF	Galatasaray	19-114	2007	7	133	19	4.5	1.5	0		0	7	19	10	2.71	2	4	-2	-1.35	-2.94	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
651	Kamil Uregen		DF	Fenerbahçe	18-033	2008	0					0		0	0		14							Matches
652	Arda Usluoğlu	tr TUR	FW	Alanyaspor	19-212	2006	0					0		0	0		1							Matches
653	Efe Üstün		GK	Samsunspor	18-005	2008	0					0		0	0		12							Matches
654	Cem Üstündag	at AUT	MF	Kasımpaşa	25-112	2001	18	940	52	31.6	10.4	9	81	3	9	23	2	0.89	4	14	-10	-0.96	-0.65	Matches
655	Necip Uysal	tr TUR	MF	Beşiktaş	35-108	1991	2	81	41	2.7	0.9	1	70	0	1	11	7	1.50	0	2	-2	-2.22	-2.88	Matches
656	Nevzat Üzel		GK	Göztepe	19-066	2007	0					0		0	0		1							Matches
657	Fıratcan Üzüm		DF,MF	Gençlerbirliği	26-342	1999	7	343	49	11.5	3.8	4	79	3	3	9	20	1.29	3	4	-1	-0.26	+0.18	Matches
658	Emrecan Uzunhan		MF	Beşiktaş	25-075	2001	0					0		0	0		1							Matches
659	Dal Varesanovic	ba BIH	MF	Rizespor	24-354	2001	2	54	27	1.8	0.6	0		0	2	27	0	0.00	1	4	-3	-5.00	-4.91	Matches
660	Dal Varesanovic	ba BIH	MF	Gençlerbirliği	24-354	2001	12	288	24	9.7	3.2	3	57	0	9	13	8	1.08	2	1	+1	+0.31	+0.82	Matches
661	Devis Vásquez	co COL	GK	Beşiktaş	28-000	1998	1	90	90	3.0	1.0	1	90	1	0		11	1.00	0	0	0	0.00	-0.59	Matches
662	Ricardo Velho	pt POR	GK	Gençlerbirliği	27-265	1998	22	1,980	90	66.7	22.0	22	90	22	0		7	1.05	23	31	-8	-0.36	+0.18	Matches
663	Daniele Verde	it ITA	MF	Fatih Karagümrük	29-326	1996	8	489	61	16.5	5.4	6	72	1	2	28	1	1.00	6	9	-3	-0.55	+0.21	Matches
