	Playing Time	Starts	Subs	Team Success	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
699	Kartal Yılmaz	tr TUR	MF	Beşiktaş	25-189	2000	13	518	40	17.4	5.8	5	80	1	8	15	15	2.08	10	7	+3	+0.52	-0.07	Matches
700	Mert Yilmaz	tr TUR	DF,MF	Antalyaspor	27-065	1999	3	21	7	0.7	0.2	0		0	3	7	1	1.00	0	1	-1	-4.29	-3.61	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
701	Oğuzhan Yılmaz		MF	Kasımpaşa	22-329	2003	0					0		0	0		6							Matches
702	Rıdvan Yılmaz	tr TUR	DF	Beşiktaş	24-356	2001	24	2,074	86	69.8	23.0	23	89	21	1	20	4	1.63	38	26	+12	+0.52	-0.18	Matches
703	Okay Yokuşlu	tr TUR	MF,DF	Trabzonspor	32-064	1994	22	889	40	29.9	9.9	10	78	7	12	9	4	2.27	20	9	+11	+1.11	+0.51	Matches
704	İsmail Yüksek	tr TUR	MF	Fenerbahçe	27-106	1999	29	1,675	58	56.4	18.6	18	77	8	11	26	2	2.17	43	25	+18	+0.97	-0.56	Matches
705	Celil Yüksel	tr TUR	MF	Samsunspor	28-131	1998	20	1,155	58	38.9	12.8	14	74	5	6	21	1	1.60	15	13	+2	+0.16	+0.35	Matches
706	Esat Yusuf Narin		MF	Kocaelispor	19-051	2007	1	3	3	0.1	0.0	0		0	1	3	2	0.00	0	0	0	0.00	+0.33	Matches
707	Nicolò Zaniolo	it ITA	FW,MF	Galatasaray	26-314	1999	4	54	14	1.8	0.6	0		0	4	14	0	3.00	4	0	+4	+6.67	+5.31	Matches
708	Altin Zeqiri	xk KVX	MF,FW	Rizespor	25-298	2000	23	704	31	23.7	7.8	5	72	2	18	19	4	1.09	10	13	-3	-0.38	-0.26	Matches
709	Oleksandr Zubkov	ua UKR	MF	Trabzonspor	29-282	1996	30	2,170	72	73.1	24.1	25	80	6	5	33	0	2.10	48	23	+25	+1.04	+1.04	Matches
710	Žan Žužek	si SVN	DF,MF	Gençlerbirliği	29-106	1997	32	2,650	83	89.2	29.4	30	87	24	2	20	0	0.88	28	47	-19	-0.65	-2.05	Matches
711	Mateusz Łęgowski	pl POL	MF,FW	Eyüpspor	23-103	2003	25	1,474	59	49.6	16.4	17	77	6	8	21	3	1.08	20	16	+4	+0.24	+1.39	Matches
